portfolio_id,instrument_id,effective_from,effective_to,target_weight,allocation_version,record_hash
CORE_15_LONG,NVDA_US,2016-01-04,,0.0950000000,1.0.0,c15fdc7f36f7223a38e3fd58183f6778ed9444f49c93a512f187024c54870fef
CORE_15_LONG,AAPL_US,2016-01-04,,0.0950000000,1.0.0,15af631692aee9324d9b5b77826b6e42444be97d7ca371fe1a727533dcb42d53
CORE_15_LONG,GOOGL_US,2016-01-04,,0.0950000000,1.0.0,50fd07439f59f5061acb1d9fafeed6a78b68a9c9b6e4ea73fc364f4dab14edae
CORE_15_LONG,MSFT_US,2016-01-04,,0.0950000000,1.0.0,c7d7f1fb70857a691d86aa39fbec0b5067953541a0e7c41f1593f9fc73819183
CORE_15_LONG,TSM_US,2016-01-04,,0.0600000000,1.0.0,cfd27d99edbcac644c581d1ab2fd11388d2ba3ae06c35f9cb9dafcf4da08e70b
CORE_15_LONG,AVGO_US,2016-01-04,,0.0600000000,1.0.0,7a0ae6cb8816fe6c42d305ca464fa9f2aee7e54717a7fb7e3822e99e6e8d4852
CORE_15_LONG,AMZN_US,2016-01-04,,0.0650000000,1.0.0,a8f83774320193a6c0ed75bf8c5f4422b2e9809678520ebc35bd068eb4ee510f
CORE_15_LONG,WMT_US,2016-01-04,,0.0650000000,1.0.0,ace26fc31257639f4dbd3a13c1c52f5a7bff4a230fd6753679d98a743f04d257
CORE_15_LONG,LLY_US,2016-01-04,,0.0550000000,1.0.0,4362428548652bdd5c028ccd2138cf85aa0009b6677cb2bfe726d4e19fe160dd
CORE_15_LONG,UNH_US,2016-01-04,,0.0550000000,1.0.0,826168add4eef11be8ccc8d1de27e5d445f7b166e28501887b1167af835b1063
CORE_15_LONG,JPM_US,2016-01-04,,0.0600000000,1.0.0,f39de0c4ac5b20b76ab998e26d00bfd17937388f096f2974cb0bff8224ba404b
CORE_15_LONG,BRK_B_US,2016-01-04,,0.0600000000,1.0.0,41319cffad9d9a51fe0f50fe06d012ff8a028a536f2ff78c1a13a7882da08da7
CORE_15_LONG,XOM_US,2016-01-04,,0.0466666667,1.0.0,a201f9c48cbfbfc81e3a6a3f5178ebc2915bf256c8870e596f0cb859e7bec564
CORE_15_LONG,TSLA_US,2016-01-04,,0.0466666667,1.0.0,956ae0724cba5fca7b93c039b8f33aab94f35d5fcfb2bfbc92720d8ea14be1aa
CORE_15_LONG,LMT_US,2016-01-04,,0.0466666666,1.0.0,b1d89cfeec45ce917b75abb66d47710c1420fc84a732e3aa753c7ac9b03f3ddc
LONG_SHORT_130_30,NVDA_US,2016-01-04,,0.1482000000,1.0.0,175d46fafcfc27a713f70053dc3d5268682fe50fed46818c46dd17cb0c406b8f
LONG_SHORT_130_30,AAPL_US,2016-01-04,,0.1482000000,1.0.0,eb0e827317855a968795b39eed964b9c7f0ad757cbff6fdbb8082965c4a0ad5b
LONG_SHORT_130_30,GOOGL_US,2016-01-04,,0.1482000000,1.0.0,e775bf1b20be7fccb7e0d773175a263a83d60d84e443561b3401a2056aa422e0
LONG_SHORT_130_30,MSFT_US,2016-01-04,,0.1482000000,1.0.0,5436644604a27d2fa7a3352a7eabd62ea261135568600b8d965db505fe04109d
LONG_SHORT_130_30,TSM_US,2016-01-04,,0.0936000000,1.0.0,56585823b08e453100f196fe543d10f811fe85e4271ff0785d870224a54b9106
LONG_SHORT_130_30,AVGO_US,2016-01-04,,0.0936000000,1.0.0,ac28f94bedef7856ad7769798c0423eda37be773fe639db89db762af0ec7cd20
LONG_SHORT_130_30,AMZN_US,2016-01-04,,0.1014000000,1.0.0,7ff155cf75d728d592fd60a673949415bbbfccccf34a1bba27225a293bed51c8
LONG_SHORT_130_30,WMT_US,2016-01-04,,-0.1000000000,1.0.0,ddd717bcf6237169aae044ca9f459fd8744e69a7992796a504bf086c339e6fa9
LONG_SHORT_130_30,LLY_US,2016-01-04,,0.0858000000,1.0.0,ebe231613c8858707f9826aad9898a40d677f034df15566f18aea11e875b7e62
LONG_SHORT_130_30,UNH_US,2016-01-04,,-0.1000000000,1.0.0,65657b522c9310b7e1f55799746ae7df99fde66eafb82ee309e9c64ed4ecd443
LONG_SHORT_130_30,JPM_US,2016-01-04,,0.0936000000,1.0.0,3fa94975d10abb4c001b3b51b8d4bda6045909bbd2968b34d54fda33a92a12a3
LONG_SHORT_130_30,BRK_B_US,2016-01-04,,0.0936000000,1.0.0,57844f38ab7cba1c4881bb9b52ce585663228cfc0800a4083be1d7ba1fc4629c
LONG_SHORT_130_30,XOM_US,2016-01-04,,0.0728000000,1.0.0,5624a01086c03755cb485d5317a99376063ea8453107840af455ceaa65ca2ab3
LONG_SHORT_130_30,TSLA_US,2016-01-04,,-0.1000000000,1.0.0,d20ee206f52e777d599fdb65166be2be4a073dc51f54eb8e2923f654d9c2b30b
LONG_SHORT_130_30,LMT_US,2016-01-04,,0.0728000000,1.0.0,d10da21ab630c0370edda68388828d6afbabd9ebed4e98251f92f2a0a7f71309
